Precipitation,Date,StationName
0.0,2021-01-01,板橋
0.0,2021-01-02,板橋
0.0,2021-01-03,板橋
4.5,2021-01-04,板橋
3.0,2021-01-05,板橋
3.0,2021-01-06,板橋
13.0,2021-01-07,板橋
10.5,2021-01-08,板橋
0.0,2021-01-09,板橋
0.0,2021-01-10,板橋
16.5,2021-01-11,板橋
2.5,2021-01-12,板橋
0.0,2021-01-13,板橋
0.0,2021-01-14,板橋
0.0,2021-01-15,板橋
T,2021-01-16,板橋
T,2021-01-17,板橋
0.0,2021-01-18,板橋
0.0,2021-01-19,板橋
0.0,2021-01-20,板橋
0.0,2021-01-21,板橋
T,2021-01-22,板橋
0.5,2021-01-23,板橋
0.0,2021-01-24,板橋
0.0,2021-01-25,板橋
0.0,2021-01-26,板橋
0.0,2021-01-27,板橋
T,2021-01-28,板橋
0.0,2021-01-29,板橋
0.0,2021-01-30,板橋
0.0,2021-01-31,板橋
0.0,2021-02-01,板橋
0.0,2021-02-02,板橋
0.0,2021-02-03,板橋
0.0,2021-02-04,板橋
0.0,2021-02-05,板橋
0.0,2021-02-06,板橋
0.0,2021-02-07,板橋
T,2021-02-08,板橋
0.0,2021-02-09,板橋
4.0,2021-02-10,板橋
18.0,2021-02-11,板橋
2.5,2021-02-12,板橋
4.0,2021-02-13,板橋
T,2021-02-14,板橋
0.0,2021-02-15,板橋
0.5,2021-02-16,板橋
4.5,2021-02-17,板橋
0.0,2021-02-18,板橋
0.0,2021-02-19,板橋
0.0,2021-02-20,板橋
0.0,2021-02-21,板橋
0.0,2021-02-22,板橋
0.0,2021-02-23,板橋
0.0,2021-02-24,板橋
0.0,2021-02-25,板橋
0.0,2021-02-26,板橋
1.5,2021-02-27,板橋
0.0,2021-02-28,板橋
0.0,2021-03-01,板橋
13.5,2021-03-02,板橋
T,2021-03-03,板橋
0.5,2021-03-04,板橋
0.5,2021-03-05,板橋
44.5,2021-03-06,板橋
1.5,2021-03-07,板橋
0.0,2021-03-08,板橋
0.0,2021-03-09,板橋
0.0,2021-03-10,板橋
0.0,2021-03-11,板橋
0.0,2021-03-12,板橋
0.0,2021-03-13,板橋
0.0,2021-03-14,板橋
0.0,2021-03-15,板橋
0.0,2021-03-16,板橋
0.0,2021-03-17,板橋
0.0,2021-03-18,板橋
0.0,2021-03-19,板橋
0.0,2021-03-20,板橋
0.0,2021-03-21,板橋
10.0,2021-03-22,板橋
T,2021-03-23,板橋
18.0,2021-03-24,板橋
0.0,2021-03-25,板橋
0.0,2021-03-26,板橋
0.0,2021-03-27,板橋
0.0,2021-03-28,板橋
0.0,2021-03-29,板橋
0.0,2021-03-30,板橋
0.0,2021-03-31,板橋
0.0,2021-04-01,板橋
0.0,2021-04-02,板橋
0.0,2021-04-03,板橋
0.0,2021-04-04,板橋
0.0,2021-04-05,板橋
0.0,2021-04-06,板橋
0.0,2021-04-07,板橋
1.5,2021-04-08,板橋
0.5,2021-04-09,板橋
0.0,2021-04-10,板橋
0.0,2021-04-11,板橋
0.0,2021-04-12,板橋
T,2021-04-13,板橋
T,2021-04-14,板橋
0.0,2021-04-15,板橋
0.0,2021-04-16,板橋
1.5,2021-04-17,板橋
0.0,2021-04-18,板橋
0.0,2021-04-19,板橋
0.0,2021-04-20,板橋
0.0,2021-04-21,板橋
0.0,2021-04-22,板橋
T,2021-04-23,板橋
0.0,2021-04-24,板橋
T,2021-04-25,板橋
T,2021-04-26,板橋
8.0,2021-04-27,板橋
18.5,2021-04-28,板橋
46.5,2021-04-29,板橋
0.0,2021-04-30,板橋
0.0,2021-05-01,板橋
0.0,2021-05-02,板橋
T,2021-05-03,板橋
0.0,2021-05-04,板橋
4.0,2021-05-05,板橋
0.0,2021-05-06,板橋
0.0,2021-05-07,板橋
T,2021-05-08,板橋
0.0,2021-05-09,板橋
0.0,2021-05-10,板橋
0.0,2021-05-11,板橋
0.0,2021-05-12,板橋
0.0,2021-05-13,板橋
0.0,2021-05-14,板橋
0.0,2021-05-15,板橋
0.0,2021-05-16,板橋
0.0,2021-05-17,板橋
0.0,2021-05-18,板橋
0.0,2021-05-19,板橋
0.0,2021-05-20,板橋
9.5,2021-05-21,板橋
0.0,2021-05-22,板橋
0.0,2021-05-23,板橋
6.0,2021-05-24,板橋
0.0,2021-05-25,板橋
0.0,2021-05-26,板橋
0.0,2021-05-27,板橋
T,2021-05-28,板橋
3.5,2021-05-29,板橋
34.0,2021-05-30,板橋
51.5,2021-05-31,板橋
22.5,2021-06-01,板橋
3.5,2021-06-02,板橋
0.0,2021-06-03,板橋
157.5,2021-06-04,板橋
23.5,2021-06-05,板橋
9.0,2021-06-06,板橋
1.0,2021-06-07,板橋
0.0,2021-06-08,板橋
T,2021-06-09,板橋
5.5,2021-06-10,板橋
0.5,2021-06-11,板橋
1.5,2021-06-12,板橋
0.0,2021-06-13,板橋
0.0,2021-06-14,板橋
0.0,2021-06-15,板橋
0.0,2021-06-16,板橋
0.0,2021-06-17,板橋
0.0,2021-06-18,板橋
0.0,2021-06-19,板橋
0.0,2021-06-20,板橋
T,2021-06-21,板橋
18.0,2021-06-22,板橋
36.0,2021-06-23,板橋
6.5,2021-06-24,板橋
6.5,2021-06-25,板橋
0.0,2021-06-26,板橋
0.0,2021-06-27,板橋
0.0,2021-06-28,板橋
0.0,2021-06-29,板橋
0.0,2021-06-30,板橋
0.0,2021-07-01,板橋
0.0,2021-07-02,板橋
1.5,2021-07-03,板橋
0.0,2021-07-04,板橋
0.0,2021-07-05,板橋
T,2021-07-06,板橋
4.5,2021-07-07,板橋
0.0,2021-07-08,板橋
0.0,2021-07-09,板橋
T,2021-07-10,板橋
0.0,2021-07-11,板橋
23.5,2021-07-12,板橋
19.0,2021-07-13,板橋
0.0,2021-07-14,板橋
0.0,2021-07-15,板橋
0.5,2021-07-16,板橋
0.0,2021-07-17,板橋
0.0,2021-07-18,板橋
0.0,2021-07-19,板橋
1.5,2021-07-20,板橋
44.0,2021-07-21,板橋
84.0,2021-07-22,板橋
51.0,2021-07-23,板橋
74.0,2021-07-24,板橋
1.5,2021-07-25,板橋
0.0,2021-07-26,板橋
0.0,2021-07-27,板橋
38.5,2021-07-28,板橋
54.5,2021-07-29,板橋
1.0,2021-07-30,板橋
22.5,2021-07-31,板橋
T,2021-08-01,板橋
16.0,2021-08-02,板橋
0.5,2021-08-03,板橋
8.0,2021-08-04,板橋
1.5,2021-08-05,板橋
16.5,2021-08-06,板橋
130.5,2021-08-07,板橋
0.0,2021-08-08,板橋
16.5,2021-08-09,板橋
T,2021-08-10,板橋
T,2021-08-11,板橋
0.0,2021-08-12,板橋
67.5,2021-08-13,板橋
66.0,2021-08-14,板橋
0.5,2021-08-15,板橋
T,2021-08-16,板橋
0.0,2021-08-17,板橋
T,2021-08-18,板橋
7.0,2021-08-19,板橋
14.0,2021-08-20,板橋
22.0,2021-08-21,板橋
0.0,2021-08-22,板橋
0.0,2021-08-23,板橋
29.5,2021-08-24,板橋
22.5,2021-08-25,板橋
0.0,2021-08-26,板橋
0.0,2021-08-27,板橋
0.0,2021-08-28,板橋
0.0,2021-08-29,板橋
0.0,2021-08-30,板橋
0.0,2021-08-31,板橋
0.0,2021-09-01,板橋
T,2021-09-02,板橋
0.0,2021-09-03,板橋
7.0,2021-09-04,板橋
9.5,2021-09-05,板橋
14.5,2021-09-06,板橋
0.0,2021-09-07,板橋
0.0,2021-09-08,板橋
0.0,2021-09-09,板橋
0.0,2021-09-10,板橋
T,2021-09-11,板橋
63.5,2021-09-12,板橋
0.0,2021-09-13,板橋
0.0,2021-09-14,板橋
8.5,2021-09-15,板橋
16.5,2021-09-16,板橋
3.5,2021-09-17,板橋
T,2021-09-18,板橋
0.0,2021-09-19,板橋
0.0,2021-09-20,板橋
0.0,2021-09-21,板橋
0.0,2021-09-22,板橋
0.0,2021-09-23,板橋
0.0,2021-09-24,板橋
T,2021-09-25,板橋
0.0,2021-09-26,板橋
0.0,2021-09-27,板橋
0.0,2021-09-28,板橋
0.0,2021-09-29,板橋
0.0,2021-09-30,板橋
2.0,2021-10-01,板橋
0.0,2021-10-02,板橋
0.0,2021-10-03,板橋
0.0,2021-10-04,板橋
T,2021-10-05,板橋
0.0,2021-10-06,板橋
0.0,2021-10-07,板橋
0.0,2021-10-08,板橋
0.0,2021-10-09,板橋
T,2021-10-10,板橋
99.0,2021-10-11,板橋
25.5,2021-10-12,板橋
5.0,2021-10-13,板橋
0.5,2021-10-14,板橋
0.0,2021-10-15,板橋
14.5,2021-10-16,板橋
0.0,2021-10-17,板橋
0.0,2021-10-18,板橋
0.0,2021-10-19,板橋
0.0,2021-10-20,板橋
10.5,2021-10-21,板橋
27.5,2021-10-22,板橋
7.0,2021-10-23,板橋
27.0,2021-10-24,板橋
3.5,2021-10-25,板橋
0.0,2021-10-26,板橋
0.0,2021-10-27,板橋
0.0,2021-10-28,板橋
0.0,2021-10-29,板橋
1.0,2021-10-30,板橋
0.0,2021-10-31,板橋
0.0,2021-11-01,板橋
T,2021-11-02,板橋
T,2021-11-03,板橋
0.5,2021-11-04,板橋
0.0,2021-11-05,板橋
0.0,2021-11-06,板橋
0.0,2021-11-07,板橋
21.0,2021-11-08,板橋
0.0,2021-11-09,板橋
T,2021-11-10,板橋
0.0,2021-11-11,板橋
5.5,2021-11-12,板橋
11.5,2021-11-13,板橋
1.5,2021-11-14,板橋
0.0,2021-11-15,板橋
0.0,2021-11-16,板橋
T,2021-11-17,板橋
T,2021-11-18,板橋
3.5,2021-11-19,板橋
1.0,2021-11-20,板橋
0.0,2021-11-21,板橋
8.5,2021-11-22,板橋
3.5,2021-11-23,板橋
0.0,2021-11-24,板橋
0.0,2021-11-25,板橋
6.5,2021-11-26,板橋
10.0,2021-11-27,板橋
T,2021-11-28,板橋
0.0,2021-11-29,板橋
T,2021-11-30,板橋
0.0,2021-12-01,板橋
0.0,2021-12-02,板橋
0.0,2021-12-03,板橋
0.0,2021-12-04,板橋
1.0,2021-12-05,板橋
13.5,2021-12-06,板橋
3.0,2021-12-07,板橋
0.0,2021-12-08,板橋
0.0,2021-12-09,板橋
0.0,2021-12-10,板橋
0.0,2021-12-11,板橋
11.0,2021-12-12,板橋
4.5,2021-12-13,板橋
0.0,2021-12-14,板橋
0.0,2021-12-15,板橋
0.0,2021-12-16,板橋
T,2021-12-17,板橋
0.0,2021-12-18,板橋
0.0,2021-12-19,板橋
T,2021-12-20,板橋
17.0,2021-12-21,板橋
13.0,2021-12-22,板橋
T,2021-12-23,板橋
1.0,2021-12-24,板橋
2.0,2021-12-25,板橋
0.5,2021-12-26,板橋
4.0,2021-12-27,板橋
0.0,2021-12-28,板橋
0.0,2021-12-29,板橋
0.0,2021-12-30,板橋
0.0,2021-12-31,板橋
0.0,2021-01-01,淡水
T,2021-01-02,淡水
1.0,2021-01-03,淡水
16.0,2021-01-04,淡水
8.5,2021-01-05,淡水
4.0,2021-01-06,淡水
23.0,2021-01-07,淡水
15.5,2021-01-08,淡水
0.0,2021-01-09,淡水
T,2021-01-10,淡水
15.0,2021-01-11,淡水
1.5,2021-01-12,淡水
0.0,2021-01-13,淡水
0.0,2021-01-14,淡水
0.0,2021-01-15,淡水
T,2021-01-16,淡水
1.0,2021-01-17,淡水
0.0,2021-01-18,淡水
0.0,2021-01-19,淡水
T,2021-01-20,淡水
0.0,2021-01-21,淡水
T,2021-01-22,淡水
0.5,2021-01-23,淡水
T,2021-01-24,淡水
0.0,2021-01-25,淡水
T,2021-01-26,淡水
T,2021-01-27,淡水
0.5,2021-01-28,淡水
0.0,2021-01-29,淡水
0.0,2021-01-30,淡水
0.0,2021-01-31,淡水
0.0,2021-02-01,淡水
T,2021-02-02,淡水
0.0,2021-02-03,淡水
0.0,2021-02-04,淡水
0.0,2021-02-05,淡水
0.0,2021-02-06,淡水
0.0,2021-02-07,淡水
0.0,2021-02-08,淡水
0.0,2021-02-09,淡水
10.0,2021-02-10,淡水
22.5,2021-02-11,淡水
7.0,2021-02-12,淡水
5.5,2021-02-13,淡水
0.0,2021-02-14,淡水
0.0,2021-02-15,淡水
2.0,2021-02-16,淡水
1.5,2021-02-17,淡水
0.0,2021-02-18,淡水
0.0,2021-02-19,淡水
0.0,2021-02-20,淡水
0.0,2021-02-21,淡水
0.0,2021-02-22,淡水
T,2021-02-23,淡水
T,2021-02-24,淡水
0.0,2021-02-25,淡水
0.5,2021-02-26,淡水
17.5,2021-02-27,淡水
