Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity
2022-01-01,362071,60720,
2022-01-02,362071,60720,
2022-01-03,362071,60720,
2022-01-04,362071,60720,
2022-01-05,362071,60720,
2022-01-06,362071,60720,
2022-01-07,362071,60720,
2022-01-08,366430,85055,
2022-01-09,366430,85055,
2022-01-10,366430,85055,
2022-01-11,366430,85055,
2022-01-12,366430,85055,
2022-01-13,366430,85055,
2022-01-14,366430,85055,
2022-01-15,316735,83400,
2022-01-16,316735,83400,
2022-01-17,316735,83400,
2022-01-18,316735,83400,
2022-01-19,316735,83400,
2022-01-20,316735,83400,
2022-01-21,316735,83400,
2022-01-22,342654,78870,
2022-01-23,342654,78870,
2022-01-24,342654,78870,
2022-01-25,342654,78870,
2022-01-26,342654,78870,
2022-01-27,342654,78870,
2022-01-28,342654,78870,
2022-01-29,339028,88619,
2022-01-30,339028,88619,
2022-01-31,339028,88619,
2022-02-01,141317,67734,53924
2022-02-02,141317,67734,53924
2022-02-03,141317,67734,53924
2022-02-04,141317,67734,53924
2022-02-05,141317,67734,53924
2022-02-06,141317,67734,53924
2022-02-07,141317,67734,53924
2022-02-08,484464,80213,53924
2022-02-09,484464,80213,53924
2022-02-10,484464,80213,53924
2022-02-11,484464,80213,53924
2022-02-12,484464,80213,53924
2022-02-13,484464,80213,53924
2022-02-14,484464,80213,53924
2022-02-15,391147,83897,53924
2022-02-16,391147,83897,53924
2022-02-17,391147,83897,53924
2022-02-18,391147,83897,53924
2022-02-19,391147,83897,53924
2022-02-20,391147,83897,53924
2022-02-21,391147,83897,53924
2022-02-22,328623,68825,53924
2022-02-23,328623,68825,53924
2022-02-24,328623,68825,53924
2022-02-25,328623,68825,53924
2022-02-26,328623,68825,53924
2022-02-27,328623,68825,53924
2022-02-28,328623,68825,53924
2022-03-01,397734,78305,
2022-03-02,397734,78305,
2022-03-03,397734,78305,
2022-03-04,397734,78305,
2022-03-05,397734,78305,
2022-03-06,397734,78305,
2022-03-07,397734,78305,
2022-03-08,306000,71881,
2022-03-09,306000,71881,
2022-03-10,306000,71881,
2022-03-11,306000,71881,
2022-03-12,306000,71881,
2022-03-13,306000,71881,
2022-03-14,306000,71881,
2022-03-15,298914,88148,
2022-03-16,298914,88148,
2022-03-17,298914,88148,
2022-03-18,298914,88148,
2022-03-19,298914,88148,
2022-03-20,298914,88148,
2022-03-21,298914,88148,
2022-03-22,436539,57510,
2022-03-23,436539,57510,
2022-03-24,436539,57510,
2022-03-25,436539,57510,
2022-03-26,436539,57510,
2022-03-27,436539,57510,
2022-03-28,436539,57510,
2022-03-29,436539,57510,
2022-03-30,436539,57510,
2022-03-31,436539,57510,
2022-04-01,297860,73200,
2022-04-02,297860,73200,
2022-04-03,297860,73200,
2022-04-04,297860,73200,
2022-04-05,297860,73200,
2022-04-06,297860,73200,
2022-04-07,297860,73200,
2022-04-08,309777,57019,
2022-04-09,309777,57019,
2022-04-10,309777,57019,
2022-04-11,309777,57019,
2022-04-12,309777,57019,
2022-04-13,309777,57019,
2022-04-14,309777,57019,
2022-04-15,407730,65769,
2022-04-16,407730,65769,
2022-04-17,407730,65769,
2022-04-18,407730,65769,
2022-04-19,407730,65769,
2022-04-20,407730,65769,
2022-04-21,407730,65769,
2022-04-22,341251,63225,
2022-04-23,341251,63225,
2022-04-24,341251,63225,
2022-04-25,341251,63225,
2022-04-26,341251,63225,
2022-04-27,341251,63225,
2022-04-28,341251,63225,
2022-04-29,368106,63645,
2022-04-30,368106,63645,
2022-05-01,367500,55595,
2022-05-02,367500,55595,
2022-05-03,367500,55595,
2022-05-04,367500,55595,
2022-05-05,367500,55595,
2022-05-06,367500,55595,
2022-05-07,367500,55595,
2022-05-08,383800,58600,
2022-05-09,383800,58600,
2022-05-10,383800,58600,
2022-05-11,383800,58600,
2022-05-12,383800,58600,
2022-05-13,383800,58600,
2022-05-14,383800,58600,
2022-05-15,437310,81590,
2022-05-16,437310,81590,
2022-05-17,437310,81590,
2022-05-18,437310,81590,
2022-05-19,437310,81590,
2022-05-20,437310,81590,
2022-05-21,437310,81590,
2022-05-22,363500,63400,
2022-05-23,363500,63400,
2022-05-24,363500,63400,
2022-05-25,363500,63400,
2022-05-26,363500,63400,
2022-05-27,363500,63400,
2022-05-28,363500,63400,
2022-05-29,363500,63400,
2022-05-30,363500,63400,
2022-05-31,363500,63400,
2022-06-01,424599,56817,57642
2022-06-02,424599,56817,57642
2022-06-03,424599,56817,57642
2022-06-04,424599,56817,57642
2022-06-05,424599,56817,57642
2022-06-06,424599,56817,57642
2022-06-07,424599,56817,57642
2022-06-08,372406,61722,57642
2022-06-09,372406,61722,57642
2022-06-10,372406,61722,57642
2022-06-11,372406,61722,57642
2022-06-12,372406,61722,57642
2022-06-13,372406,61722,57642
2022-06-14,372406,61722,57642
2022-06-15,395198,85660,57642
2022-06-16,395198,85660,57642
2022-06-17,395198,85660,57642
2022-06-18,395198,85660,57642
2022-06-19,395198,85660,57642
2022-06-20,395198,85660,57642
2022-06-21,395198,85660,57642
2022-06-22,431094,68470,57642
2022-06-23,431094,68470,57642
2022-06-24,431094,68470,57642
2022-06-25,431094,68470,57642
2022-06-26,431094,68470,57642
2022-06-27,431094,68470,57642
2022-06-28,431094,68470,57642
2022-06-29,431094,68470,57642
2022-06-30,431094,68470,57642
2022-07-01,362060,61439,23920
2022-07-02,362060,61439,23920
2022-07-03,362060,61439,23920
2022-07-04,362060,61439,23920
2022-07-05,362060,61439,23920
2022-07-06,362060,61439,23920
2022-07-07,362060,61439,23920
2022-07-08,367940,71852,23920
2022-07-09,367940,71852,23920
2022-07-10,367940,71852,23920
2022-07-11,367940,71852,23920
2022-07-12,367940,71852,23920
2022-07-13,367940,71852,23920
2022-07-14,367940,71852,23920
2022-07-15,318700,80500,23920
2022-07-16,318700,80500,23920
2022-07-17,318700,80500,23920
2022-07-18,318700,80500,23920
2022-07-19,318700,80500,23920
2022-07-20,318700,80500,23920
2022-07-21,318700,80500,23920
2022-07-22,357979,70870,23920
2022-07-23,357979,70870,23920
2022-07-24,357979,70870,23920
2022-07-25,357979,70870,23920
2022-07-26,357979,70870,23920
2022-07-27,357979,70870,23920
2022-07-28,357979,70870,23920
2022-07-29,303223,60900,23920
2022-07-30,303223,60900,23920
2022-07-31,303223,60900,23920
2022-08-01,304700,73665,
2022-08-02,304700,73665,
2022-08-03,304700,73665,
2022-08-04,304700,73665,
2022-08-05,304700,73665,
2022-08-06,304700,73665,
2022-08-07,304700,73665,
2022-08-08,340261,56785,
2022-08-09,340261,56785,
2022-08-10,340261,56785,
2022-08-11,340261,56785,
2022-08-12,340261,56785,
2022-08-13,340261,56785,
2022-08-14,340261,56785,
2022-08-15,348591,74031,
2022-08-16,348591,74031,
2022-08-17,348591,74031,
2022-08-18,348591,74031,
2022-08-19,348591,74031,
2022-08-20,348591,74031,
2022-08-21,348591,74031,
2022-08-22,335040,78342,
2022-08-23,335040,78342,
2022-08-24,335040,78342,
2022-08-25,335040,78342,
2022-08-26,335040,78342,
2022-08-27,335040,78342,
2022-08-28,335040,78342,
2022-08-29,335040,78342,
2022-08-30,335040,78342,
2022-08-31,335040,78342,
2022-09-01,345999,74535,22080
2022-09-02,345999,74535,22080
2022-09-03,345999,74535,22080
2022-09-04,345999,74535,22080
2022-09-05,345999,74535,22080
2022-09-06,345999,74535,22080
2022-09-07,345999,74535,22080
2022-09-08,340633,85436,22080
2022-09-09,340633,85436,22080
2022-09-10,340633,85436,22080
2022-09-11,340633,85436,22080
2022-09-12,340633,85436,22080
2022-09-13,340633,85436,22080
2022-09-14,340633,85436,22080
2022-09-15,351100,62272,22080
2022-09-16,351100,62272,22080
2022-09-17,351100,62272,22080
2022-09-18,351100,62272,22080
2022-09-19,351100,62272,22080
2022-09-20,351100,62272,22080
2022-09-21,351100,62272,22080
2022-09-22,391831,89916,22080
2022-09-23,391831,89916,22080
2022-09-24,391831,89916,22080
2022-09-25,391831,89916,22080
2022-09-26,391831,89916,22080
2022-09-27,391831,89916,22080
2022-09-28,391831,89916,22080
2022-09-29,391831,89916,22080
2022-09-30,391831,89916,22080
2022-10-01,327984,76565,38640
2022-10-02,327984,76565,38640
2022-10-03,327984,76565,38640
2022-10-04,327984,76565,38640
2022-10-05,327984,76565,38640
2022-10-06,327984,76565,38640
2022-10-07,327984,76565,38640
2022-10-08,338310,52679,38640
2022-10-09,338310,52679,38640
2022-10-10,338310,52679,38640
2022-10-11,338310,52679,38640
2022-10-12,338310,52679,38640
2022-10-13,338310,52679,38640
2022-10-14,338310,52679,38640
2022-10-15,322730,80600,38640
2022-10-16,322730,80600,38640
2022-10-17,322730,80600,38640
2022-10-18,322730,80600,38640
2022-10-19,322730,80600,38640
2022-10-20,322730,80600,38640
2022-10-21,322730,80600,38640
2022-10-22,313519,67250,38640
2022-10-23,313519,67250,38640
2022-10-24,313519,67250,38640
2022-10-25,313519,67250,38640
2022-10-26,313519,67250,38640
2022-10-27,313519,67250,38640
2022-10-28,313519,67250,38640
2022-10-29,323811,82290,38640
2022-10-30,323811,82290,38640
2022-10-31,323811,82290,38640
2022-11-01,359150,59400,9943
2022-11-02,359150,59400,9943
2022-11-03,359150,59400,9943
2022-11-04,359150,59400,9943
2022-11-05,359150,59400,9943
2022-11-06,359150,59400,9943
2022-11-07,359150,59400,9943
2022-11-08,382552,80050,9943
2022-11-09,382552,80050,9943
2022-11-10,382552,80050,9943
2022-11-11,382552,80050,9943
2022-11-12,382552,80050,9943
2022-11-13,382552,80050,9943
2022-11-14,382552,80050,9943
2022-11-15,350500,71627,9943
2022-11-16,350500,71627,9943
2022-11-17,350500,71627,9943
2022-11-18,350500,71627,9943
2022-11-19,350500,71627,9943
2022-11-20,350500,71627,9943
2022-11-21,350500,71627,9943
2022-11-22,396155,76937,9943
2022-11-23,396155,76937,9943
2022-11-24,396155,76937,9943
2022-11-25,396155,76937,9943
2022-11-26,396155,76937,9943
2022-11-27,396155,76937,9943
2022-11-28,396155,76937,9943
2022-11-29,396155,76937,9943
2022-11-30,396155,76937,9943
2022-12-01,319407,62894,
2022-12-02,319407,62894,
2022-12-03,319407,62894,
2022-12-04,319407,62894,
2022-12-05,319407,62894,
2022-12-06,319407,62894,
2022-12-07,319407,62894,
2022-12-08,379083,54667,
2022-12-09,379083,54667,
2022-12-10,379083,54667,
2022-12-11,379083,54667,
2022-12-12,379083,54667,
2022-12-13,379083,54667,
2022-12-14,379083,54667,
2022-12-15,382988,85500,
2022-12-16,382988,85500,
2022-12-17,382988,85500,
2022-12-18,382988,85500,
2022-12-19,382988,85500,
2022-12-20,382988,85500,
2022-12-21,382988,85500,
2022-12-22,387890,83670,
2022-12-23,387890,83670,
2022-12-24,387890,83670,
2022-12-25,387890,83670,
2022-12-26,387890,83670,
2022-12-27,387890,83670,
2022-12-28,387890,83670,
2022-12-29,353700,91500,
2022-12-30,353700,91500,
2022-12-31,353700,91500,
