Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity
2021-01-01,297000,88600,35940
2021-01-02,297000,88600,35940
2021-01-03,297000,88600,35940
2021-01-04,297000,88600,35940
2021-01-05,297000,88600,35940
2021-01-06,297000,88600,35940
2021-01-07,297000,88600,35940
2021-01-08,310700,61800,35940
2021-01-09,310700,61800,35940
2021-01-10,310700,61800,35940
2021-01-11,310700,61800,35940
2021-01-12,310700,61800,35940
2021-01-13,310700,61800,35940
2021-01-14,310700,61800,35940
2021-01-15,330600,73100,35940
2021-01-16,330600,73100,35940
2021-01-17,330600,73100,35940
2021-01-18,330600,73100,35940
2021-01-19,330600,73100,35940
2021-01-20,330600,73100,35940
2021-01-21,330600,73100,35940
2021-01-22,300700,60050,35940
2021-01-23,300700,60050,35940
2021-01-24,300700,60050,35940
2021-01-25,300700,60050,35940
2021-01-26,300700,60050,35940
2021-01-27,300700,60050,35940
2021-01-28,300700,60050,35940
2021-01-29,326700,32600,35940
2021-01-30,326700,32600,35940
2021-01-31,326700,32600,35940
2021-02-01,294300,59400,25413
2021-02-02,294300,59400,25413
2021-02-03,294300,59400,25413
2021-02-04,294300,59400,25413
2021-02-05,294300,59400,25413
2021-02-06,294300,59400,25413
2021-02-07,294300,59400,25413
2021-02-08,210000,41400,25413
2021-02-09,210000,41400,25413
2021-02-10,210000,41400,25413
2021-02-11,210000,41400,25413
2021-02-12,210000,41400,25413
2021-02-13,210000,41400,25413
2021-02-14,210000,41400,25413
2021-02-15,367800,72600,25413
2021-02-16,367800,72600,25413
2021-02-17,367800,72600,25413
2021-02-18,367800,72600,25413
2021-02-19,367800,72600,25413
2021-02-20,367800,72600,25413
2021-02-21,367800,72600,25413
2021-02-22,305000,78100,25413
2021-02-23,305000,78100,25413
2021-02-24,305000,78100,25413
2021-02-25,305000,78100,25413
2021-02-26,305000,78100,25413
2021-02-27,305000,78100,25413
2021-02-28,305000,78100,25413
2021-03-01,343900,64700,52810
2021-03-02,343900,64700,52810
2021-03-03,343900,64700,52810
2021-03-04,343900,64700,52810
2021-03-05,343900,64700,52810
2021-03-06,343900,64700,52810
2021-03-07,343900,64700,52810
2021-03-08,279400,68000,52810
2021-03-09,279400,68000,52810
2021-03-10,279400,68000,52810
2021-03-11,279400,68000,52810
2021-03-12,279400,68000,52810
2021-03-13,279400,68000,52810
2021-03-14,279400,68000,52810
2021-03-15,302800,75300,52810
2021-03-16,302800,75300,52810
2021-03-17,302800,75300,52810
2021-03-18,302800,75300,52810
2021-03-19,302800,75300,52810
2021-03-20,302800,75300,52810
2021-03-21,302800,75300,52810
2021-03-22,301000,53200,52810
2021-03-23,301000,53200,52810
2021-03-24,301000,53200,52810
2021-03-25,301000,53200,52810
2021-03-26,301000,53200,52810
2021-03-27,301000,53200,52810
2021-03-28,301000,53200,52810
2021-03-29,301000,53200,52810
