Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity
2020-01-01,394400,84500,20385
2020-01-02,394400,84500,20385
2020-01-03,394400,84500,20385
2020-01-04,394400,84500,20385
2020-01-05,394400,84500,20385
2020-01-06,394400,84500,20385
2020-01-07,394400,84500,20385
2020-01-08,346850,93390,20385
2020-01-09,346850,93390,20385
2020-01-10,346850,93390,20385
2020-01-11,346850,93390,20385
2020-01-12,346850,93390,20385
2020-01-13,346850,93390,20385
2020-01-14,346850,93390,20385
2020-01-15,249700,96900,20385
2020-01-16,249700,96900,20385
2020-01-17,249700,96900,20385
2020-01-18,249700,96900,20385
2020-01-19,249700,96900,20385
2020-01-20,249700,96900,20385
2020-01-21,249700,96900,20385
2020-01-22,284500,61800,20385
2020-01-23,284500,61800,20385
2020-01-24,284500,61800,20385
2020-01-25,284500,61800,20385
2020-01-26,284500,61800,20385
2020-01-27,284500,61800,20385
2020-01-28,284500,61800,20385
2020-01-29,284500,61800,20385
2020-01-30,284500,61800,20385
2020-01-31,284500,61800,20385
2020-02-01,372300,72910,54889
2020-02-02,372300,72910,54889
2020-02-03,372300,72910,54889
2020-02-04,372300,72910,54889
2020-02-05,372300,72910,54889
2020-02-06,372300,72910,54889
2020-02-07,372300,72910,54889
2020-02-08,376520,110180,54889
2020-02-09,376520,110180,54889
2020-02-10,376520,110180,54889
2020-02-11,376520,110180,54889
2020-02-12,376520,110180,54889
2020-02-13,376520,110180,54889
2020-02-14,376520,110180,54889
2020-02-15,332510,66260,54889
2020-02-16,332510,66260,54889
2020-02-17,332510,66260,54889
2020-02-18,332510,66260,54889
2020-02-19,332510,66260,54889
2020-02-20,332510,66260,54889
2020-02-21,332510,66260,54889
2020-02-22,374290,48380,54889
2020-02-23,374290,48380,54889
2020-02-24,374290,48380,54889
2020-02-25,374290,48380,54889
2020-02-26,374290,48380,54889
2020-02-27,374290,48380,54889
2020-02-28,374290,48380,54889
2020-02-29,335890,125330,54889
2020-03-01,350810,79100,0
2020-03-02,350810,79100,0
2020-03-03,350810,79100,0
2020-03-04,350810,79100,0
2020-03-05,350810,79100,0
2020-03-06,350810,79100,0
2020-03-07,350810,79100,0
2020-03-08,374500,63060,0
2020-03-09,374500,63060,0
2020-03-10,374500,63060,0
2020-03-11,374500,63060,0
2020-03-12,374500,63060,0
2020-03-13,374500,63060,0
2020-03-14,374500,63060,0
2020-03-15,272820,40060,0
2020-03-16,272820,40060,0
2020-03-17,272820,40060,0
2020-03-18,272820,40060,0
2020-03-19,272820,40060,0
2020-03-20,272820,40060,0
2020-03-21,272820,40060,0
2020-03-22,402660,66530,0
2020-03-23,402660,66530,0
2020-03-24,402660,66530,0
2020-03-25,402660,66530,0
2020-03-26,402660,66530,0
2020-03-27,402660,66530,0
2020-03-28,402660,66530,0
2020-03-29,402660,66530,0
2020-03-30,402660,66530,0
2020-03-31,402660,66530,0
2020-04-01,371920,84820,29000
2020-04-02,371920,84820,29000
2020-04-03,371920,84820,29000
2020-04-04,371920,84820,29000
2020-04-05,371920,84820,29000
2020-04-06,371920,84820,29000
2020-04-07,371920,84820,29000
2020-04-08,358430,63530,29000
2020-04-09,358430,63530,29000
2020-04-10,358430,63530,29000
2020-04-11,358430,63530,29000
2020-04-12,358430,63530,29000
2020-04-13,358430,63530,29000
2020-04-14,358430,63530,29000
2020-04-15,336300,83190,29000
