Date,WhiteChickQuantity,RedChickQuantity,ImportChickenQuantity
2019-01-01,329600,35800,35701
2019-01-02,329600,35800,35701
2019-01-03,329600,35800,35701
2019-01-04,329600,35800,35701
2019-01-05,329600,35800,35701
2019-01-06,329600,35800,35701
2019-01-07,329600,35800,35701
2019-01-08,295700,36800,35701
2019-01-09,295700,36800,35701
2019-01-10,295700,36800,35701
2019-01-11,295700,36800,35701
2019-01-12,295700,36800,35701
2019-01-13,295700,36800,35701
2019-01-14,295700,36800,35701
2019-01-15,353800,59800,35701
2019-01-16,353800,59800,35701
2019-01-17,353800,59800,35701
2019-01-18,353800,59800,35701
2019-01-19,353800,59800,35701
2019-01-20,353800,59800,35701
2019-01-21,353800,59800,35701
2019-01-22,294400,45000,35701
2019-01-23,294400,45000,35701
2019-01-24,294400,45000,35701
2019-01-25,294400,45000,35701
2019-01-26,294400,45000,35701
2019-01-27,294400,45000,35701
2019-01-28,294400,45000,35701
2019-01-29,294400,45000,35701
2019-01-30,294400,45000,35701
2019-01-31,294400,45000,35701
2019-02-01,282200,78400,10396
2019-02-02,282200,78400,10396
2019-02-03,282200,78400,10396
2019-02-04,282200,78400,10396
2019-02-05,282200,78400,10396
2019-02-06,282200,78400,10396
2019-02-07,282200,78400,10396
2019-02-08,238900,47800,10396
2019-02-09,238900,47800,10396
2019-02-10,238900,47800,10396
2019-02-11,238900,47800,10396
2019-02-12,238900,47800,10396
2019-02-13,238900,47800,10396
2019-02-14,238900,47800,10396
2019-02-15,378200,74200,10396
2019-02-16,378200,74200,10396
2019-02-17,378200,74200,10396
2019-02-18,378200,74200,10396
2019-02-19,378200,74200,10396
2019-02-20,378200,74200,10396
2019-02-21,378200,74200,10396
2019-02-22,346200,38600,10396
2019-02-23,346200,38600,10396
2019-02-24,346200,38600,10396
2019-02-25,346200,38600,10396
2019-02-26,346200,38600,10396
2019-02-27,346200,38600,10396
2019-02-28,346200,38600,10396
2019-03-01,309400,62300,53880
2019-03-02,309400,62300,53880
2019-03-03,309400,62300,53880
2019-03-04,309400,62300,53880
2019-03-05,309400,62300,53880
2019-03-06,309400,62300,53880
2019-03-07,309400,62300,53880
2019-03-08,381900,50000,53880
2019-03-09,381900,50000,53880
2019-03-10,381900,50000,53880
2019-03-11,381900,50000,53880
2019-03-12,381900,50000,53880
2019-03-13,381900,50000,53880
2019-03-14,381900,50000,53880
2019-03-15,346900,62500,53880
2019-03-16,346900,62500,53880
2019-03-17,346900,62500,53880
2019-03-18,346900,62500,53880
2019-03-19,346900,62500,53880
2019-03-20,346900,62500,53880
2019-03-21,346900,62500,53880
2019-03-22,373500,59700,53880
2019-03-23,373500,59700,53880
2019-03-24,373500,59700,53880
2019-03-25,373500,59700,53880
2019-03-26,373500,59700,53880
2019-03-27,373500,59700,53880
2019-03-28,373500,59700,53880
2019-03-29,304200,50900,53880
2019-03-30,304200,50900,53880
2019-03-31,304200,50900,53880
2019-04-01,384900,55200,29000
2019-04-02,384900,55200,29000
2019-04-03,384900,55200,29000
2019-04-04,384900,55200,29000
