Year_Week,Avg_Price
2022-00,34.5
2022-01,34.5
2022-02,34.5
2022-03,34.5
2022-04,33.36
2022-05,30.5
2022-06,34.5
2022-07,36.5
2022-08,36.5
2022-09,36.5
2022-10,36.5
2022-11,37.07
2022-12,38.5
2022-13,38.5
2022-14,38.5
2022-15,38.5
2022-16,39.64
2022-17,40.5
2022-18,40.5
2022-19,40.5
2022-20,40.5
2022-21,40.5
2022-22,40.5
2022-23,40.5
2022-24,40.5
2022-25,40.5
2022-26,40.5
2022-27,40.5
2022-28,40.5
2022-29,41.64
2022-30,42.5
2022-31,42.5
2022-32,42.5
2022-33,42.5
2022-34,42.5
2022-35,42.5
2022-36,42.5
2022-37,42.5
2022-38,42.5
2022-39,42.5
2022-40,41.07
2022-41,40.5
2022-42,40.5
2022-43,40.5
2022-44,40.5
2022-45,40.5
2022-46,40.5
2022-47,40.5
2022-48,40.5
2022-49,40.5
2022-50,40.5
2022-51,40.5
2022-52,40.5
