Year_Week,Avg_Price
2021-00,24.5
2021-01,25.64
2021-02,27.64
2021-03,28.5
2021-04,28.5
2021-05,25.21
2021-06,23.5
2021-07,25.64
2021-08,28.5
2021-09,29.64
2021-10,30.5
2021-11,30.5
2021-12,31.64
2021-13,32.5
2021-14,32.5
2021-15,32.5
2021-16,31.07
2021-17,30.5
2021-18,29.07
2021-19,28.5
2021-20,28.5
2021-21,26.36
2021-22,25.5
2021-23,25.5
2021-24,27.21
2021-25,28.5
2021-26,26.36
2021-27,25.5
2021-28,24.07
2021-29,23.5
2021-30,23.5
2021-31,24.64
2021-32,25.5
2021-33,25.5
2021-34,25.5
2021-35,26.64
2021-36,27.5
2021-37,26.07
2021-38,25.5
2021-39,24.07
2021-40,23.5
2021-41,23.5
2021-42,23.5
2021-43,25.21
2021-44,27.64
2021-45,28.5
2021-46,29.64
2021-47,30.5
2021-48,31.64
2021-49,32.5
2021-50,32.5
2021-51,33.64
2021-52,34.5
