Year_Week,Avg_Price
2018-00,25.83
2018-01,26.5
2018-02,27.64
2018-03,28.5
2018-04,27.07
2018-05,22.64
2018-06,20.5
2018-07,23.07
2018-08,26.5
2018-09,24.36
2018-10,22.07
2018-11,21.5
2018-12,23.21
2018-13,24.5
2018-14,25.64
2018-15,26.5
2018-16,26.5
2018-17,26.5
2018-18,27.64
2018-19,28.5
2018-20,28.5
2018-21,27.07
2018-22,26.5
2018-23,26.5
2018-24,25.93
2018-25,27.5
2018-26,27.5
2018-27,27.5
2018-28,28.64
2018-29,29.5
2018-30,29.5
2018-31,30.64
2018-32,31.5
2018-33,31.5
2018-34,31.5
2018-35,32.64
2018-36,33.5
2018-37,33.5
2018-38,33.5
2018-39,33.5
2018-40,33.5
2018-41,33.5
2018-42,33.5
2018-43,33.5
2018-44,33.5
2018-45,33.5
2018-46,33.5
2018-47,33.5
2018-48,33.5
2018-49,33.5
2018-50,33.5
2018-51,33.5
2018-52,33.5
