Year_Week,Avg_Price
2023-01,40.5
2023-02,40.5
2023-03,40.07
2023-04,38.36
2023-05,40.5
2023-06,40.5
2023-07,41.75
2023-08,42.5
2023-09,42.5
2023-10,44.21
2023-11,45.5
2023-12,45.5
2023-13,45.5
2023-14,45.5
2023-15,45.5
2023-16,45.5
2023-17,45.5
2023-18,45.5
2023-19,45.5
2023-20,45.5
2023-21,45.5
2023-22,45.5
2023-23,45.5
2023-24,43.36
2023-25,41.07
2023-26,40.5
2023-27,40.5
2023-28,40.5
2023-29,40.5
2023-30,40.5
2023-31,40.5
2023-32,40.5
2023-33,40.5
2023-34,40.5
2023-35,40.5
2023-36,42.21
2023-37,43.5
2023-38,43.5
2023-39,44.64
2023-40,45.5
2023-41,45.5
2023-42,45.5
2023-43,44.07
2023-44,41.36
2023-45,39.07
2023-46,38.5
2023-47,38.5
2023-48,38.5
