Year_Week,Avg_Price
2019-00,34.0
2019-01,34.0
2019-02,34.0
2019-03,34.0
2019-04,34.0
2019-05,34.0
2019-06,34.0
2019-07,34.0
2019-08,34.0
2019-09,34.0
2019-10,34.0
2019-11,34.0
2019-12,34.0
2019-13,34.0
2019-14,34.0
2019-15,35.71
2019-16,36.0
2019-17,36.0
2019-18,36.0
2019-19,36.0
2019-20,36.0
2019-21,36.0
2019-22,36.0
2019-23,36.0
2019-24,36.0
2019-25,36.86
2019-26,38.0
2019-27,38.0
2019-28,38.0
2019-29,38.0
2019-30,38.0
2019-31,38.0
2019-32,38.0
2019-33,38.0
2019-34,38.0
2019-35,36.29
2019-36,36.0
2019-37,34.29
2019-38,34.0
2019-39,34.0
2019-40,34.0
2019-41,35.71
2019-42,36.0
2019-43,36.0
2019-44,36.0
2019-45,36.0
2019-46,36.0
2019-47,36.0
2019-48,34.29
2019-49,34.0
2019-50,34.0
2019-51,34.0
2019-52,34.0
