Year_Week,Avg_Price
2018-00,34.0
2018-01,34.0
2018-02,34.0
2018-03,34.0
2018-04,34.0
2018-05,30.57
2018-06,30.0
2018-07,30.86
2018-08,32.0
2018-09,32.0
2018-10,32.0
2018-11,32.0
2018-12,32.0
2018-13,32.0
2018-14,32.0
2018-15,32.0
2018-16,32.0
2018-17,32.86
2018-18,34.0
2018-19,34.0
2018-20,34.0
2018-21,34.0
2018-22,32.29
2018-23,32.0
2018-24,32.0
2018-25,32.0
2018-26,33.14
2018-27,34.0
2018-28,34.86
2018-29,36.0
2018-30,36.0
2018-31,36.0
2018-32,36.0
2018-33,36.0
2018-34,36.0
2018-35,36.0
2018-36,36.0
2018-37,35.14
2018-38,34.0
2018-39,34.0
2018-40,34.0
2018-41,34.0
2018-42,34.0
2018-43,34.0
2018-44,34.0
2018-45,34.0
2018-46,34.0
2018-47,34.0
2018-48,34.0
2018-49,34.0
2018-50,34.0
2018-51,34.0
2018-52,34.0
