Year_Week,Avg_Price
2021-00,32.0
2021-01,32.0
2021-02,32.0
2021-03,32.0
2021-04,32.0
2021-05,32.0
2021-06,32.0
2021-07,32.0
2021-08,32.0
2021-09,32.0
2021-10,32.0
2021-11,32.0
2021-12,33.71
2021-13,34.0
2021-14,34.0
2021-15,34.0
2021-16,34.0
2021-17,34.0
2021-18,34.0
2021-19,34.0
2021-20,34.0
2021-21,34.0
2021-22,34.0
2021-23,34.0
2021-24,34.0
2021-25,35.71
2021-26,36.0
2021-27,36.0
2021-28,36.0
2021-29,36.0
2021-30,36.0
2021-31,37.14
2021-32,38.0
2021-33,38.0
2021-34,38.0
2021-35,38.0
2021-36,36.29
2021-37,36.0
2021-38,36.0
2021-39,36.0
2021-40,36.0
2021-41,36.0
2021-42,36.0
2021-43,36.0
2021-44,36.0
2021-45,36.0
2021-46,36.0
2021-47,36.0
2021-48,36.0
2021-49,36.0
2021-50,36.86
2021-51,38.0
2021-52,38.0
