Year_Week,Avg_Price
2022-00,38.0
2022-01,38.0
2022-02,38.0
2022-03,38.0
2022-04,38.0
2022-05,38.0
2022-06,38.0
2022-07,38.0
2022-08,38.0
2022-09,38.0
2022-10,38.0
2022-11,39.71
2022-12,40.0
2022-13,40.0
2022-14,40.0
2022-15,42.57
2022-16,43.0
2022-17,43.0
2022-18,43.0
2022-19,43.0
2022-20,43.0
2022-21,43.0
2022-22,43.0
2022-23,43.0
2022-24,43.0
2022-25,43.0
2022-26,43.0
2022-27,43.0
2022-28,43.0
2022-29,43.0
2022-30,43.0
2022-31,43.0
2022-32,43.0
2022-33,43.0
2022-34,43.0
2022-35,43.0
2022-36,43.0
2022-37,43.0
2022-38,43.0
2022-39,43.0
2022-40,43.0
2022-41,43.0
2022-42,43.0
2022-43,43.0
2022-44,43.0
2022-45,43.0
2022-46,43.0
2022-47,43.0
2022-48,43.0
2022-49,43.0
2022-50,43.0
2022-51,43.0
2022-52,43.0
