Year_Week,Avg_Price
2020-00,34.0
2020-01,34.0
2020-02,32.57
2020-03,32.0
2020-04,32.29
2020-05,32.29
2020-06,32.0
2020-07,32.0
2020-08,32.0
2020-09,32.0
2020-10,32.0
2020-11,31.14
2020-12,30.0
2020-13,30.0
2020-14,30.0
2020-15,30.0
2020-16,30.0
2020-17,30.0
2020-18,30.0
2020-19,31.71
2020-20,32.0
2020-21,32.0
2020-22,32.0
2020-23,32.0
2020-24,32.0
2020-25,32.0
2020-26,32.0
2020-27,32.0
2020-28,32.0
2020-29,32.0
2020-30,32.0
2020-31,32.0
2020-32,33.71
2020-33,34.0
2020-34,34.0
2020-35,34.0
2020-36,34.0
2020-37,32.0
2020-38,32.0
2020-39,32.0
2020-40,32.0
2020-41,32.0
2020-42,32.0
2020-43,32.0
2020-44,32.0
2020-45,32.0
2020-46,32.0
2020-47,32.0
2020-48,32.0
2020-49,32.0
2020-50,32.0
2020-51,32.0
2020-52,32.0
